GENESIS-Tabelle: 46241-007Z
Straßenverkehrsunfälle: Unfälle mit Personenschaden oder;;;;;;;;
Sachschaden, Verunglückte - Gemeinden;;;;;;;;
(Gebietsstand ab 01.01.23) - Jahre;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;
;;;Unfälle insgesamt (o.so.Sachsch.unf.);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i.e.S.;Sonst. Sachsch.unfall unt.Einwirk.berausch.Mittel;Getötete;Verletzte
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14626570;      Vierkirchen;2024;17;9;7;1;-;11
14626580;      Waldhufen;2024;15;10;5;-;-;12
14626590;      Weißkeißel;2024;16;13;2;1;-;21
14626600;      Weißwasser/O.L., Stadt;2024;85;66;13;6;1;74
14626610;      Zittau, Stadt, Hochschulstadt;2024;156;122;27;7;1;159
14627;    Meißen, Landkreis;2024;1116;842;236;38;12;1034
14627010;      Coswig, Stadt;2024;72;60;9;3;-;70
14627020;      Diera-Zehren;2024;21;16;4;1;-;22
14627030;      Ebersbach;2024;25;19;6;-;-;23
14627040;      Glaubitz;2024;7;6;1;-;-;7
14627050;      Gröditz, Stadt;2024;20;13;5;2;1;15
14627060;      Großenhain, Stadt;2024;70;55;13;2;1;64
14627070;      Hirschstein;2024;12;7;5;-;1;7
14627080;      Käbschütztal;2024;17;11;5;1;1;14
14627100;      Klipphausen;2024;80;62;14;4;2;99
14627110;      Lampertswalde;2024;10;5;5;-;-;5
14627130;      Lommatzsch, Stadt;2024;17;15;2;-;-;20
14627140;      Meißen, Stadt;2024;116;100;12;4;-;122
14627150;      Moritzburg;2024;32;27;4;1;2;29
14627170;      Niederau;2024;19;16;3;-;-;21
14627180;      Nossen, Stadt;2024;113;63;45;5;1;79
14627190;      Nünchritz;2024;17;14;2;1;-;15
14627200;      Priestewitz;2024;26;17;8;1;1;19
14627210;      Radebeul, Stadt;2024;130;100;25;5;-;121
14627220;      Radeburg, Stadt;2024;44;31;12;1;1;41
14627230;      Riesa, Stadt;2024;124;98;22;4;-;106
14627240;      Röderaue;2024;8;7;1;-;-;7
14627250;      Schönfeld;2024;15;12;3;-;1;15
14627260;      Stauchitz;2024;12;10;2;-;-;11
14627270;      Strehla, Stadt;2024;11;9;2;-;-;11
14627290;      Thiendorf;2024;20;16;4;-;-;24
14627310;      Weinböhla;2024;44;33;10;1;-;40
14627340;      Wülknitz;2024;9;1;8;-;-;1
14627360;      Zeithain;2024;25;19;4;2;-;26
14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;2024;1102;911;152;39;18;1158
14628010;      Altenberg, Stadt;2024;42;33;8;1;-;44
14628020;      Bad Gottleuba-Berggießhübel, Stadt;2024;34;24;8;2;1;30
14628030;      Bad Schandau, Stadt;2024;19;18;1;-;-;27
14628040;      Bahretal;2024;25;21;3;1;3;24
14628050;      Bannewitz;2024;53;42;8;3;-;54
14628060;      Dippoldiswalde, Stadt;2024;59;47;9;3;-;61
14628070;      Dohma;2024;7;6;1;-;-;7
14628080;      Dohna, Stadt;2024;32;28;4;-;1;37
14628090;      Dorfhain;2024;3;2;1;-;-;2
14628100;      Dürrröhrsdorf-Dittersbach;2024;26;19;7;-;-;24
14628110;      Freital, Stadt;2024;128;104;17;7;1;132
14628130;      Glashütte, Stadt;2024;25;24;1;-;-;30
14628140;      Gohrisch;2024;4;4;-;-;-;5
14628160;      Heidenau, Stadt;2024;51;45;2;4;-;57
14628170;      Hermsdorf/Erzgeb.;2024;6;4;2;-;1;3
14628190;      Hohnstein, Stadt;2024;19;19;-;-;-;28
14628205;      Klingenberg;2024;27;24;2;1;-;28
14628210;      Königstein/Sächs. Schw., Stadt;2024;29;19;9;1;-;26
14628220;      Kreischa;2024;21;17;3;1;-;23
14628230;      Liebstadt, Stadt;2024;9;9;-;-;-;12
14628240;      Lohmen;2024;12;10;1;1;1;11
14628250;      Müglitztal;2024;9;8;1;-;-;9
14628260;      Neustadt in Sachsen, Stadt;2024;48;40;7;1;-;52
14628270;      Pirna, Stadt;2024;202;178;18;6;1;215
14628300;      Rabenau, Stadt;2024;18;16;2;-;-;19
14628320;      Rathmannsdorf;2024;4;4;-;-;-;4
14628330;      Reinhardtsdorf-Schöna;2024;3;2;1;-;-;2
14628340;      Rosenthal-Bielatal;2024;2;1;1;-;-;1
14628360;      Sebnitz, Stadt;2024;29;26;3;-;-;32
14628370;      Stadt Wehlen, Stadt;2024;6;6;-;-;-;6
