GENESIS-Tabelle: 46251-003Z
Kfz-Bestand: Bestand, Kfz-Arten(4);;;;;;;
- Gemeinden (GS ab 01.01.23);;;;;;;
- Stichtage: bis 2000 am 01.07., bis 2010 am 01.01.;;;;;;;
Statistik des Kfz - und Anhängerbestandes;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;
;;;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart
;;;Insgesamt;Pkw insgesamt;Lkw insgesamt;Zugmaschinen insgesamt;Krafträder, zwei-, drei- und leichte vierrädr. Kfz
14625190;      Großpostwitz/O.L.;01.01.2010;2223;1825;173;54;124
14625200;      Großröhrsdorf, Stadt;01.01.2010;6646;5626;466;.;377
14625220;      Haselbachtal;01.01.2010;3231;2678;175;166;184
14625230;      Hochkirch;01.01.2010;1773;1460;129;83;84
14625240;      Hoyerswerda, Stadt;01.01.2010;20866;18608;1023;162;939
14625250;      Kamenz, Stadt;01.01.2010;11583;9835;770;244;656
14625270;      Königsbrück, Stadt;01.01.2010;2959;2511;199;.;179
14625280;      Königswartha;01.01.2010;2628;2132;206;125;148
14625290;      Kubschütz;01.01.2010;2281;1799;241;98;120
14625300;      Laußnitz;01.01.2010;1545;1241;113;74;95
14625310;      Lauta, Stadt;01.01.2010;5929;5119;295;59;431
14625320;      Lichtenberg;01.01.2010;1310;1084;81;72;61
14625330;      Lohsa;01.01.2010;4335;3704;210;129;267
14625340;      Malschwitz;01.01.2010;3839;3115;269;.;209
14625350;      Nebelschütz;01.01.2010;930;768;57;.;47
14625360;      Neschwitz;01.01.2010;1878;1560;142;.;113
14625370;      Neukirch;01.01.2010;1350;1085;116;.;70
14625380;      Neukirch/Lausitz;01.01.2010;3386;2863;231;63;215
14625390;      Obergurig;01.01.2010;1538;1295;107;.;115
14625410;      Ohorn;01.01.2010;1732;1502;112;.;86
14625420;      Oßling;01.01.2010;1773;1475;109;63;114
14625430;      Ottendorf-Okrilla;01.01.2010;8389;6124;1544;236;454
14625440;      Panschwitz-Kuckau;01.01.2010;1559;1232;104;.;122
