name,unfaelle,population,rate
"Rochlitz, Stadt, Stadt des Roten Porphyr",12,5439,2.206287920573634859349145
Otterwisch,3,1362,2.202643171806167400881057
"Naunhof, Stadt",19,8721,2.17864923747276688453159
Reinsberg,6,2755,2.177858439201451905626134
Langenweißbach,5,2298,2.175805047867711053089643
Schönau-Berzdorf a. d. Eigen,3,1391,2.15672178289000718907261
"Jöhstadt, Stadt",5,2344,2.13310580204778156996587
"Bad Lausick, Stadt",17,7970,2.132998745294855708908407
Bobritzsch-Hilbersdorf,12,5627,2.132575084414430424737871
Theuma,2,943,2.120890774125132555673383
Neumark,6,2843,2.110446711220541681322547
"Frohburg, Stadt",25,11968,2.088903743315508021390374
Mockrehna,10,4811,2.078569943878611515277489
Neukirchen/Erzgeb.,14,6841,2.046484432100570092091799
"Grünhain-Beierfeld, Stadt",11,5455,2.016498625114573785517874
Beiersdorf,2,996,2.008032128514056224899598
"Seifhennersdorf, Stadt",7,3490,2.005730659025787965616046
Hainewalde,3,1501,1.998667554963357761492338
"Markranstädt, Stadt",32,16032,1.996007984031936127744511
Panschwitz-Kuckau,4,2004,1.996007984031936127744511
Niederau,8,4020,1.990049751243781094527363
"Stadt Wehlen, Stadt",3,1510,1.986754966887417218543046
Dreiheide,4,2036,1.964636542239685658153242
Bennewitz,10,5119,1.953506544246923227192811
"Marienberg, Stadt",31,15872,1.953125
Oberwiera,2,1025,1.951219512195121951219512
"Eibenstock, Stadt",13,6700,1.940298507462686567164179
Bösenbrunn,2,1031,1.93986420950533462657614
Mühlau,4,2069,1.933301111648139197680039
"Schirgiswalde-Kirschau, Stadt",11,5706,1.92779530318962495618647
Niederwiesa,9,4674,1.925545571245186136071887
"Regis-Breitingen, Stadt",7,3739,1.872158331104573415351698
Reinsdorf,13,6957,1.868621532269656461118298
"Geyer, Stadt",6,3236,1.854140914709517923362176
"Kirchberg, Stadt",14,7551,1.854059065024500066216395
"Zschopau, Stadt, Motorradstadt",16,8643,1.851209070924447529792896
"Gröditz, Stadt",12,6527,1.838516929676727439865175
Lohsa,9,4899,1.837109614206981016533987
Haselbachtal,7,3812,1.836306400839454354669465
"Colditz, Stadt",15,8175,1.834862385321100917431193
"Muldenhammer, Erholungsort",5,2744,1.822157434402332361516035
"Klingenthal, Stadt",13,7163,1.814882032667876588021779
Räckelwitz,2,1123,1.780943900267141585040071
Taura,4,2254,1.774622892635314995563443
"Wildenfels, Stadt",6,3384,1.773049645390070921985816
Auerbach,4,2258,1.771479185119574844995571
"Lichtenstein/Sa., Stadt",19,10739,1.769252258124592606387932
Schönheide,7,3961,1.767230497349154253976269
"Johanngeorgenstadt, Stadt",6,3422,1.753360607831677381648159
Gohrisch,3,1730,1.734104046242774566473988
Mulda/Sa.,4,2309,1.732351667388479861411867
Lichtentanne,10,5806,1.722356183258697898725456
"Wilkau-Haßlau, Stadt",16,9299,1.720615119905366168405205
"Rötha, Stadt",11,6432,1.710199004975124378109453
Olbersdorf,7,4149,1.687153530971318389973488
Machern,11,6603,1.665909435105255187036196
Quitzdorf am See,2,1203,1.662510390689941812136326
Dürrröhrsdorf-Dittersbach,7,4216,1.660341555977229601518027
"Strehla, Stadt",6,3623,1.656086116478056858956666
"Lugau/Erzgeb., Stadt",12,7299,1.644060830250719276613235
"Olbernhau, Stadt",16,9733,1.643891914106647487927669
Gersdorf,6,3662,1.638448935008192244675041
"Schneeberg, Stadt",21,12930,1.624129930394431554524362
"Böhlen, Stadt",11,6804,1.616696061140505584950029
Zschorlau,8,4969,1.609981887703763332662508
Crottendorf,6,3730,1.608579088471849865951743
Großrückerswalde,5,3116,1.604621309370988446726573
Leubsdorf,5,3132,1.596424010217113665389527
Thiendorf,6,3786,1.584786053882725832012678
Zettlitz,1,654,1.529051987767584097859327
Mildenau,5,3275,1.526717557251908396946565
Tirpersdorf,2,1315,1.52091254752851711026616
Mülsen,16,10560,1.515151515151515151515152
"Lommatzsch, Stadt",7,4645,1.506996770721205597416577
"Annaberg-Buchholz, Stadt",28,18740,1.494130202774813233724653
"Reichenbach im Vogtland, Stadt",29,19435,1.492153331618214561358374
"Dahlen, Stadt",6,4043,1.484046500123670541676973
Bockau,3,2052,1.461988304093567251461988
Cavertitz,3,2069,1.449975833736104398260029
Mittelherwigsdorf,5,3451,1.448855404230657780353521
Belgershain,5,3465,1.443001443001443001443001
"Jonsdorf, Kurort",2,1395,1.433691756272401433691756
Hochkirch,3,2127,1.410437235543018335684062
Hermsdorf/Erzgeb.,1,713,1.402524544179523141654979
"Dommitzsch, Stadt",3,2190,1.369863013698630136986301
