"name","area_km2","population","blitzer","unfaelle","blitzerdichte","unfallrate"
"Laußnitz","63.81","1794","0","9","0.0","5.016722408026755852842809"
"Ralbitz-Rosenthal","31.74","1724","0","7","0.0","4.060324825986078886310905"
"Wittichenau, Stadt","61.02","5506","1","18","0.016388069485414618157981","3.269160915365056302215765"
"Gohrisch","34.87","1730","0","3","0.0","1.734104046242774566473988"
"Göda","43.26","2903","1","17","0.023116042533518261673601","5.856011023079572855666552"
"Bertsdorf-Hörnitz","18.0","1987","0","11","0.0","5.535983895319577252138903"
"Kreba-Neudorf","31.65","807","0","1","0.0","1.23915737298636926889715"
"Ebersbach","84.38","4263","0","20","0.0","4.691531785127844241144734"
"Steinigtwolmsdorf","18.04","2583","0","8","0.0","3.097173828881145954316686"
"Elsnig","36.91","1303","0","8","0.0","6.139677666922486569455104"
"Rötha, Stadt","45.41","6432","0","11","0.0","1.710199004975124378109453"
"Freiberg, Stadt, Universitätsstadt","48.31","41147","3","134","0.062098944317946594907887","3.256616521253068267431404"
"Limbach-Oberfrohna, Stadt","50.21","23318","0","55","0.0","2.358692855304914658203963"
"Frankenberg/Sa., Stadt, Garnisonsstadt","65.62","13598","0","40","0.0","2.941609060155905280188263"
"Weißenberg, Stadt","50.96","3009","0","21","0.0","6.97906281156530408773679"
"Elsterberg, Stadt","25.1","3537","1","10","0.039840637450199203187251","2.827254735651682216567713"
"Grünbach","27.55","1610","0","4","0.0","2.48447204968944099378882"
"Niederdorf","13.06","1244","0","7","0.0","5.627009646302250803858521"
"Erlau","37.83","3025","0","10","0.0","3.305785123966942148760331"
"Neumark","17.31","2843","0","6","0.0","2.110446711220541681322547"
"Waldheim, Stadt","41.71","8705","2","20","0.047950131862862622872213","2.297530155083285468121769"
"Steinberg","20.37","2608","1","7","0.049091801669121256750123","2.684049079754601226993865"
"Herrnhut, Stadt","74.13","5640","0","17","0.0","3.014184397163120567375887"
"Borna, Stadt","62.45","20092","0","83","0.0","4.130997411905235914791957"
"Lichtentanne","27.33","5806","1","10","0.036589828027808269301134","1.722356183258697898725456"
"Niederfrohna","10.13","2130","0","11","0.0","5.164319248826291079812207"
"Sebnitz, Stadt","88.23","9246","2","26","0.022668026748271562960444","2.812026822409690677049535"
