GENESIS-Tabelle: 11111-040M
Gebietsfläche;;;;
- Gemeinden (Gebietsstand ab 01.01.2023) 1);;;;
Feststellung des Gebietsstandes;;;;
31.12.2024;;;;
;;Fläche in qm;Fläche in ha;Fläche in qkm
;;qm;ha;qkm
14628050;      Bannewitz;25750932;2575,09;25,75
14628060;      Dippoldiswalde, Stadt;103987695;10398,77;103,99
14628070;      Dohma;19533334;1953,33;19,53
14628080;      Dohna, Stadt;28588519;2858,85;28,59
14628090;      Dorfhain;6249927;624,99;6,25
14628100;      Dürrröhrsdorf-Dittersbach;43506404;4350,64;43,51
14628110;      Freital, Stadt;40458299;4045,83;40,46
14628130;      Glashütte, Stadt;95641175;9564,12;95,64
14628140;      Gohrisch;34865626;3486,56;34,87
14628150;      Hartmannsdorf-Reichenau;28364298;2836,43;28,36
14628160;      Heidenau, Stadt;11066703;1106,67;11,07
14628170;      Hermsdorf/Erzgeb.;20057609;2005,76;20,06
14628190;      Hohnstein, Stadt;64637536;6463,75;64,64
14628205;      Klingenberg;86751905;8675,19;86,75
14628210;      Königstein/Sächs. Schw., Stadt;27045381;2704,54;27,05
14628220;      Kreischa;28924500;2892,45;28,92
14628230;      Liebstadt, Stadt;37364600;3736,46;37,36
14628240;      Lohmen;25901325;2590,13;25,90
14628250;      Müglitztal;21012784;2101,28;21,01
14628260;      Neustadt in Sachsen, Stadt;83123577;8312,36;83,12
14628270;      Pirna, Stadt;53061167;5306,12;53,06
14628300;      Rabenau, Stadt;30726541;3072,65;30,73
14628310;      Rathen, Kurort;3559627;355,96;3,56
14628320;      Rathmannsdorf;4373737;437,37;4,37
14628330;      Reinhardtsdorf-Schöna;31800858;3180,09;31,80
14628340;      Rosenthal-Bielatal;46604312;4660,43;46,60
14628360;      Sebnitz, Stadt;88234998;8823,50;88,23
14628370;      Stadt Wehlen, Stadt;10851150;1085,12;10,85
14628380;      Stolpen, Stadt;60892676;6089,27;60,89
14628390;      Struppen;20644656;2064,47;20,64
14628400;      Tharandt, Stadt;71224535;7122,45;71,22
14628410;      Wilsdruff, Stadt;81597714;8159,77;81,60
147;  Leipzig, NUTS 2-Region;3977609315;397760,93;3977,61
14713;    Leipzig, Stadt;297799080;29779,91;297,80
14713000;      Leipzig, Stadt;297799080;29779,91;297,80
14729;    Leipzig, Landkreis;1651265743;165126,57;1651,27
14729010;      Bad Lausick, Stadt;70025784;7002,58;70,03
14729020;      Belgershain;22802515;2280,25;22,80
14729030;      Bennewitz;46809512;4680,95;46,81
14729040;      Böhlen, Stadt;25268118;2526,81;25,27
14729050;      Borna, Stadt;62448081;6244,81;62,45
14729060;      Borsdorf;15640834;1564,08;15,64
14729070;      Brandis, Stadt;34892404;3489,24;34,89
14729080;      Colditz, Stadt;84070973;8407,10;84,07
14729100;      Elstertrebnitz;11657918;1165,79;11,66
14729140;      Frohburg, Stadt;145295152;14529,52;145,30
14729150;      Geithain, Stadt;54705944;5470,59;54,71
14729160;      Grimma, Stadt;218234471;21823,45;218,23
14729170;      Groitzsch, Stadt;70168088;7016,81;70,17
14729190;      Großpösna;41556386;4155,64;41,56
14729220;      Kitzscher, Stadt;29036515;2903,65;29,04
14729245;      Lossatal;111168130;11116,81;111,17
14729250;      Machern;38928387;3892,84;38,93
14729260;      Markkleeberg, Stadt;31471648;3147,16;31,47
